English,Urdu
two weeks went by,دو ہفتے گزر گئے
dont laugh,مت ہنسو
how was your day,آپ کا دن کیسا گزرا
you look stunning,تم بہوت شاندار لگ رہے ہو
dont speak so fast,اتنی جلدی مت بولو
my foot fell asleep,میرا پاؤں سو گیا
he has money,اس کے پاس پیسہ ہے
he gave up hope,اس نے امید چھوڑ دی
i sent zain back home,میں نے زین کو گھر بھیج دیا۔
doesn’t matter,کوئی فرق نہیں پڑتا!
zain survived,زین بچ گیا
wheres my diary,میری ڈائری کہاں ہے
she stopped to smoke,وہ تمباکو نوشی کرنا بند کر دیا
you knew that right,آپ کو یہ صحیح معلوم تھا۔
its exciting,یہ دلچسپ
i like spoons,مجھے چمچے پسند ہیں۔
you should leave,آپ کو چھوڑ دینا چاہئے
i want to go with you,"میں تیرے ساتھ جانا چاہتا ہوں۔"""
lets hurry it up,چلو جلدی کرو
it might be fun,یہ مزہ ہو سکتا ہے
i never got caught,میں کبھی پکڑا نہیں گیا
why arent they back,وہ واپس کیوں نہیں آئے؟
zain knew something,زین کو کچھ معلوم تھا۔
she likes miniskirts,اسے منی اسکرٹس پسند ہیں۔
you woke me,تم نے مجھے جگایا
i was born here,میں یہاں پیدا ہوا تھا
i play with him,میں اس کے ساتھ کھیلتا ہوں۔
i will take the bus,میں بس لے جاؤں گا۔
he seems to be sick,وہ بیمار لگتا ہے
i have to go to bed,میں سونے کیلئے بستر پر لیٹ چکا ہوں
please continue,براہ مہربانی آنکھوں میں
is anybody here,یہاں کوئی ہے؟
were winning,جیت رہے تھے
zain looks pretty bad,زین بہت برا لگ رہا ہے
my bag was stolen,میرا بیگ چوری ہو گیا تھا
don’t make it matter of ego,اسے انا کی بات نہ بنائیں
he went to bed because he was tired,وہ سونے چلا گیا ہے کیونکہ وہ تھکا ہوا تھا.
i agree with you,میں تمہارے ساتھ متفق ہیں
it may rain tomorrow,کل بارش ہو سکتی ہے۔
lets eat sushi,سوشی کھانے دو
dont pick your nose,اپنی ناک نہ اٹھاؤ
zain asked a question,زین نے سوال کیا
this is how we do it,اس طرح ہم یہ کرتے ہیں
thats my answer,یہ میرا جواب ہے
did zain cause this,زین نے اس کی وجہ کیا؟
zain wasnt murdered,زین کو قتل نہیں کیا گیا۔
i need to stop,مجھے رکنے کی ضرورت ہے۔
he's a smart boy,وہ عقلمند لڑکا ہے۔
i knew your father,میں تمہارے باپ کو جانتا تھا۔
what did you hide,تم نے کیا چھپایا
i had like to stay here,مجھے یہاں رہنا پسند تھا۔
i may be a bit crazy,میں تھوڑا پاگل ہو سکتا ہوں۔
i am going there now,میں اب وہاں جا رہا ہوں۔
i didnt get his joke,مجھے اس کا مذاق سمجھ نہیں آیا
he has long hair,اس کے لمبے بال ہیں۔
he saved the princess,اس نے شہزادی کو بچایا
zains impossible,زین ناممکن
i must find out,مجھے معلوم کرنا ہوگا۔
somebody laughed,کوئی ہنسا
a dog is following us,ایک کتا ہمارا پیچھا کر رہا ہے۔
she lied,اس نے جھوٹ بولا
i hope zain comes soon,مجھے امید ہے کہ زین جلد آ جائے گا۔
do they know about us,کیا وہ ہمارے بارے میں جانتے ہیں؟
i lost my inspiration,میں نے اپنا حوصلہ کھو دیا۔
we swam in the sea,ہم سمندر میں تیرے
she made tea for me,اس نے میرے لیے چائے بنائی
dont pull my sleeve,میری آستین مت کھینچو
who can you trust,آپ کس پر بھروسہ کر سکتے ہیں۔
you learn something new everyday,آپ ہر روز کچھ نیا سیکھتے ہیں۔
can i leave now,کیا میں اب جا سکتا ہوں؟
i made supper,میں نے رات کا کھانا بنایا
i keep thirteen cats,میں تیرہ بلیاں رکھتا ہوں۔
slip on your shoes,اپنے جوتے پر پرچی
he has a hairy chest,اس کا سینہ بالوں والا ہے۔
fry an egg for me,میرے لیے ایک انڈا فرائی کرو
he has no bicycle,اس کے پاس کوئی سائیکل نہیں ہے۔
sushi is delicious,سشی مزیدار ہےزین آ گیا
my lips are sealed,میرے ہونٹ بند ہیں
zain has arrived,زین آ چکا ہے
it wasnt easy,یہ آسان نہیں تھا
it is of great value,یہ بہت قیمت کا ہے
i love this album,مجھے یہ البم پسند ہے۔
he is badly hurt,وہ بری طرح زخمی ہے
the gate was open,گیٹ کھلا ہوا تھا
what makes you cry,آپ کو کیا رونا آتا ہے
i will move soon,میں جلد ہی چلا جاؤں گا۔
i think shes forty,میرے خیال میں وہ چالیس ہے۔
what is the source of your bread and butter,آپ کی روٹی اور مکھن کا ذریعہ کیا ہے؟
could you stay away from my stuff,کیا تم میری چیزوں سے دور رہ سکتے ہو؟
i wrote it all down,میں نے یہ سب لکھ دیا۔
i went to murree for change of climate,میں موسم کی تبدیلی کے لیے مری گیا تھا۔
whose food is this,یہ کس کا کھانا ہے
i will see you around,میں آپ کو آس پاس دیکھوں گا۔
you are going too fast,تم بہت تیزی سے جا رہے ہو
zain was partly right,زین جزوی طور پر درست تھا۔
dolphins are curious,ڈالفن متجسس ہیں
zain has a loud voice,زین کی آواز بلند ہے۔
i want vengeance,میں انتقام چاہتا ہوں۔
he doesnt like fish,اسے مچھلی پسند نہیں ہے۔
shell probably come,شیل شاید آئے
his rooms a mess,اس کے کمرے گندے ہیں
i did not understand,میں نہیں سمجھا
what is zains address,زین ایڈریس کیا ہے؟
is this car new,کیا یہ گاڑی نئی ہے؟
a coke please,ایک کوک پلیز
he did as i told him,اس نے ویسا ہی کیا جیسا میں نے اسے بتایا تھا۔
can i take a day off,کیا میں ایک دن کی چھٹی لے سکتا ہوں؟
was all of that true,یہ سب سچ تھا
what motivated you,جس نے آپ کو حوصلہ دیا
i will be sixteen next birthday,میں اگلی سالگرہ سولہ سال کا ہو جاؤں گا۔
zain is observing,زین دیکھ رہا ہے
i would like that,میں یہ چاہوں گا
we must do something,ہمیں کچھ کرنا چاہیے
they are vegetarians,وہ سبزی خور ہیں
i play chess,میں شطرنج کھیلتا ہوں۔
were engaged,مصروف تھے
how did the traffic accident happen,ٹریفک حادثہ کیسے پیش آیا؟
zain was really good,زین واقعی اچھا تھا
how do you make a box,آپ ایک باکس کیسے بناتے ہیں
did you see his face,کیا تم نے اس کا چہرہ دیکھا؟
i will see zain today,میں آج زین کو دیکھوں گا۔
zain is quite young,زین کافی جوان ہے۔
zain is your enemy,زین تمہارا دشمن ہے۔
what is this key for,یہ چابی کس کے لیے ہے؟
i did all the work,میں نے تمام کام کیا
why wont zain leave,زین کیوں نہیں چھوڑتا
those books are mine,وہ کتابیں میری ہیں۔
zain will catch us,زین ہمیں پکڑ لے گا۔
are you a fan,کیا آپ پرستار ہیں؟
i hate funerals,مجھے جنازوں سے نفرت ہے۔
i only drink water,میں صرف پانی پیتا ہوں۔
zain seems jealous,زین جل رہا ہے
i am seeing them tonight,میں آج رات انہیں دیکھ رہا ہوں۔
i have two cats,میرے پاس دو بلیاں ہیں۔
i do my best,میں اپنی پوری کوشش کرتا ہوں۔
zain took a big risk,زین نے بڑا خطرہ مول لیا۔
it’s my pleasure,یہ میری خوشی ہے
take rest here tonight,آج رات یہاں آرام کرو
mary is zains sister,مریم زین کی بہن ہے۔
its gorgeous,یہ خوبصورت ہے
i tried to save him,میں نے اسے بچانے کی کوشش کی۔
zain will scream,زین چیخے گا
dont call me again,مجھے دوبارہ کال مت کرنا
you cant be serious,آپ سنجیدہ نہیں ہو سکتے
she has lost weight,اس نے وزن کھو دیا ہے
zain seems sweet,زین پیارا لگتا ہے
he came first,وہ پہلے آیا
this story is true,یہ کہانی سچ ہے
the law was changed,قانون تبدیل کر دیا گیا تھا
i nearly died,میں تقریبا مر گیا
i love french,مجھے فرانسیسی زبان پسند ہے
i am a total wreck,میں مکمل تباہی ہوں۔
wheres the zoo,چڑیا گھر کہاں ہے
she told him to stop,اس نے اسے روکنے کے لئے کہا
i had a close shave,میں نے ایک قریبی شیو کی تھی۔
i hope so,مجھے امید ہے
i am not afraid at all,میں بالکل نہیں ڈرتا
the sun fades colors,سورج رنگ ختم کرتا ہے
this is remarkable,یہ قابل ذکر ہے
you are reliable,آپ قابل اعتماد ہیں
i speak french,میں فرانسیسی بولتا ہوں
the man took my arm,آدمی نے میرا بازو پکڑ لیا۔
i live in yokohama,میں یوکوہاما میں رہتا ہوں۔
she/he was tired of running about,وہ بھاگتے بھاگتے تھک گئی تھی۔
i like milk,مجھے دودھ پسند ہے۔
the train is out of sight now,ٹرین اب نظر سے باہر ہے
my hobby is reading,میرا شوق پڑھنا ہے۔
do you have tuna fish,کیا آپ کے پاس ٹونا مچھلی ہے؟
i got wet to the skin,میں جلد پر گیلا ہو گیا۔
that was serious,یہ سنجیدہ تھا
hand me the remote,مجھے ریموٹ دے دو
zain sipped his drink,زین نے پینا گھونٹ لیا۔
every bus is full,ہر بس بھری ہوئی ہے۔
take everything,سب کچھ لے لو
he has absolute power,اس کے پاس مطلق طاقت ہے
can you forgive me,کیا آپ مجھے معاف کر سکتے ہیں؟
zain knows,زین جانتا ہے
are you hungry yet,کیا آپ ابھی تک بھوکے ہیں؟
zain has tonsillitis,زین کو ٹنسلائٹس ہے۔
you are cute,آپ خوبصورت ہیں
i feel like vomiting,مجھے الٹی کی طرح محسوس ہوتا ہے۔
she bought him a car,اس نے اسے ایک کار خریدی۔
stop following me,میرا پیچھا بند کرو
give me what i want,مجھے وہ دے دو جو میں چاہتا ہوں۔
everythings ready,سب کچھ تیار ہے
that’s ok,ٹھیک ہے
he was born in,وہ میں پیدا ہوا تھا
thats zains car,یہ زینز کی گاڑی ہے۔
it was snowing,برف باری ہو رہی تھی
let me see,مجھے دیکھنے دو
did zain tell you,زین نے آپ کو بتایا؟
there is no body inside,اندر کوئی جسم نہیں ہے
she was brave,وہ بہادر تھا
i love my wife,میں اپنی بیوی سے محبت کرتا ہوں
were impressed,متاثر ہوئے
i lack confidence,میرے پاس اعتماد کی کمی ہے۔
zain waved the flag,زین نے جھنڈا لہرایا
it saved our lives,اس نے ہماری جان بچائی
zain has lost control,زین نے کنٹرول کھو دیا
no one knew it,کوئی نہیں جانتا تھا
it is already eleven,یہ پہلے ہی گیارہ ہے
you cant escape,تم بچ نہیں سکتے
as you please,جیسا کہ آپ کی مرضی
zain wasnt married,زین کی شادی نہیں ہوئی تھی۔
i think you are nuts,مجھے لگتا ہے کہ آپ پاگل ہیں۔
i am having a blast,میں ایک دھماکہ کر رہا ہوں
i am a college student,میں کالج کا طالب علم ہوں۔
zain refuses to work,زین نے کام کرنے سے انکار کر دیا۔
i postponed the event,میں نے تقریب ملتوی کر دی۔
tell me your plan,مجھے اپنا منصوبہ بتائیں
you are very lonely,تم بہت تنہا ہو
he'll get there in ten hours,وہ وہاں دس گھنٹے میں پہنچ جائیں گے۔
he walked quietly,وہ خاموشی سے چل پڑا
there is no way left now,اب کوئی راستہ نہیں بچا
is tomorrow saturday,کل ہفتہ ہے
she had to accept her fate,اس کو اپنی قسمت قبول کرنا پڑی۔
its conceivable,یہ قابل فہم ہے
you are so skinny,تم بہت پتلی ہو
they arent here yet,وہ ابھی تک یہاں نہیں ہیں۔
i am feeling sleepy,مجھے نیند آرہی ہے
trust me,مجھ پر بھروسہ کرو۔
he sells cars,وہ کاریں بیچتا ہے۔
does not matter,کوئی فرق نہیں پڑتا
you were never alone,آپ کبھی اکیلے نہیں تھے
come along with us,ہمارے ساتھ چلو
that is a lie,یہ جھوٹ ہے
were still together,اب بھی ساتھ تھے
i am going in first,میں پہلے اندر جا رہا ہوں۔
zain led the attack,زین نے حملے کی قیادت کی۔
zain still hates mary,زین اب بھی مریم سے نفرت کرتا ہے۔
the axle is broken,محور ٹوٹ گیا ہے
did zain need help,کیا زین کو مدد کی ضرورت ہے؟
mom is making a cake,ماں کیک بنا رہی ہے۔
zain has to go,زین کو جانا ہے
i feel sorry for her,مجھے اس کے لیے افسوس ہے۔
were broke,ٹوٹ گئے تھے
she cant afford it,وہ اسے برداشت نہیں کر سکتا
his throat is swollen,اس کے گلے میں سوجن ہے
he keeps on teasing me,وہ مجھے تنگ کرتا رہتا ہے۔
zain leaned forward,زین آگے جھک گیا۔
the cat is black,بلی کالی ہے
they understood,وہ سمجھ گئے
i bought a red diary,میں نے ایک سرخ ڈائری خریدی۔
were they lying,کیا وہ جھوٹ بول رہے تھے؟
wheres the girl,لڑکی کہاں ہے
get your coat tom,اپنا کوٹ ٹام لے لو
the cats are meowing,بلیاں میاؤں کر رہی ہیں۔
he was shy at first,وہ پہلے شرمندہ تھا
he is second to none,وہ کسی سے پیچھے نہیں ہے۔
sugar is sweet,چینی میٹھی ہے
he will come tomorrow,وہ کل آئے گا
he made up his mind,اس نے اپنا ذہن بنا لیا
i dropped my sandwich,میں نے اپنا سینڈوچ گرا دیا۔
this is my husband,یہ میرے شوہر ہیں
zains confessed,زین نے اعتراف کیا
were a bit late,تھوڑی دیر ہو گئی
i am zains niece,میں زین کی بھانجی ہوں۔
zain is still in bed,زین ابھی تک بستر پر ہے
zain is under the bed,زین بیڈ کے نیچے ہے۔
zain told me,زین نے مجھے بتایا
he will be pleased to meet you,وہ آپ سے مل کر خوش ہو گا۔
i take my words back,میں اپنے الفاظ واپس لیتا ہوں۔
i think you are wrong,مجھے لگتا ہے کہ آپ غلط ہیں۔
i burned my finger,میں نے اپنی انگلی جلا دی۔
how late am i,میں کتنی دیر کر رہا ہوں
i think you are nice,مجھے لگتا ہے کہ آپ اچھے ہیں۔
can i ask you something,کیا میں تم سے کچھ پوچھ سکتا ہوں
my knee is bleeding,میرے گھٹنے سے خون بہہ رہا ہے۔
i knew too much,میں بہت زیادہ جانتا تھا۔
i am sad to hear it,میں اسے سن کر اداس ہوں۔
do your homework,اپنا ہومورک کرو
zain will starve,زین بھوکا رہے گا
i feel it now,میں اسے اب محسوس کرتا ہوں۔
zain is blushing,زین شرما رہا ہے
go down,نیچے جائیے
he made no response,اس نے کوئی جواب نہیں دیا
i live in comfort,میں آرام سے رہتا ہوں۔
that is not your cup,یہ آپ کا کپ نہیں ہے۔
you are an angel,تم ایک فرشتہ ہو
i had like a soda,میرے پاس سوڈا تھا۔
have zain come see me,زین مجھ سے ملنے آئے ہیں
zain is irresistible,زین ناقابل تلافی ہے۔
zain abused our trust,زین نے ہمارے اعتماد کا غلط استعمال کیا۔
i didnt listen,میں نے نہیں سنا
they are harmless,وہ بے ضرر ہیں
i cant talk now,میں اب بات نہیں کر سکتا
he is still here,وہ اب بھی یہاں ہے
what did they want,وہ کیا چاہتے تھے
shes gone on a trip,وہ ایک سفر پر گیا ہے
i hate this place,مجھے اس جگہ سے نفرت ہے
she isnt running,وہ نہیں چل رہا ہے
why do i even care,میں کیوں پرواہ کروں
did zain forget to pay,زین ادا کرنا بھول گیا؟
zain is friendly,زین دوستانہ ہے
it sickens me,یہ مجھے بیمار کرتا ہے
i made zain laugh,میں نے زین کو ہنسایا
i ask you,میں آپ سے پوچھتا ہوں
its hopeless,یہ نا امید ہے
i want to eat this,میں یہ کھانا چاہتا ہوں۔
black is depressing,سیاہ افسردہ ہے
a man came to see him,ایک آدمی اس سے ملنے آیا
are you joking,کیا آپ مذاک کررہے ہیں
get to it tom,اسے حاصل کریں ٹام
i no longer work here,میں اب یہاں کام نہیں کرتا
take a purgative,ایک علاج لے لو
what are your plans,آپ کے منصوبے کیا ہیں
i like his attitude,مجھے اس کا رویہ پسند ہے۔
she came to my aid,وہ میری مدد کو آیا
idleness is the root cause of all ills,سستی تمام برائیوں کی جڑ ہے۔
she loves children,وہ بچوں سے محبت کرتا ہے
it is a good cake,یہ ایک اچھا کیک ہے
what vile behavior,کیسا گھٹیا رویہ
you know i love you,تم جانتے ہو کہ میں تم سے محبت کرتا ہوں۔
i love monday,مجھے پیر سے محبت ہے۔
stop dreaming,خواب دیکھنا بند کرو
this will pass,یہ گزر جائے گا
enjoy yourself,اپنے آپ سے لطف اندوز
shall we begin,کیا ہم شروع کریں گے؟
zain opened his eyes,زین نے آنکھیں کھولیں۔
are you alone now,کیا تم اکیلے ہو ابھی
live and learn,جیو اور سیکھو
write tom,ٹام لکھیں
zain looks after us,زین ہمارا خیال رکھتا ہے۔
we cant win,ہم جیت نہیں سکتے
cheers,خوش
lets go away,جانے دو
look ahead,آگے دیکھو
how have you been,آپ کیسی رہی
zain is confused,زین الجھن میں ہے
why does ice float,برف کیوں تیرتی ہے؟
forty people attended,چالیس افراد نے شرکت کی۔
do you believe him,کیا تم اس پر یقین کرتے ہو؟
he may miss his train,وہ اپنی ٹرین چھوٹ سکتا ہے۔
try to act your age,اپنی عمر پر عمل کرنے کی کوشش کریں۔
zain is intoxicated,زین نشہ میں ہے
he knows the secret,وہ راز جانتا ہے
she prays for her parents,وہ اپنے والدین کے لیے دعا کرتی ہے۔
zain laughed,زین ہنس دیا
it looks like a ufo,یہ یو ایف او کی طرح لگتا ہے۔
all swans are white,تمام ہنس سفید ہیں
i want my life back,میں اپنی زندگی واپس چاہتا ہوں۔
i recognized his face,میں نے اس کا چہرہ پہچان لیا۔
he is always laughing,وہ ہمیشہ ہنس رہا ہے
zains voice was calm,زین کی آواز پرسکون تھی۔
we got married,ہم نے شادی کر لی
the website is down,ویب سائٹ نیچے ہے
i have a few books,میرے پاس چند کتابیں ہیں۔
how old is this stuff,یہ چیز کتنی پرانی ہے؟
come downstairs,نیچے آو
they are murderers,وہ قاتل ہیں
zain approached,زین قریب آیا
zain ordered a beer,زین نے بیئر کا آرڈر دیا۔
i really have to go,مجھے واقعی جانا ہے۔
she has long hair,اس کے لمبے بال ہیں۔
i am better,میں بہتر ہوں
absolutely not,بالکل نہیں!
eat something,کچھ کھا لیں
they play with those toys in their house,وہ اپنے گھر میں ان کھلونوں سے کھیلتے ہیں۔
